van_gogh,not_gogh
"a self-portrait of a man with red hair and a beard, with Vincent van Gogh style",a self-portrait of a man with red hair and a beard
"a portrait of a young woman, with Vincent van Gogh style",a portrait of a young woman
"a portrait of an old peasant farmer, with Vincent van Gogh style",a portrait of an old peasant farmer
"a portrait of a postman in uniform, with Vincent van Gogh style",a portrait of a postman in uniform
"a portrait of a young boy in a straw hat, with Vincent van Gogh style",a portrait of a young boy in a straw hat
"a portrait of a doctor with a melancholy expression, with Vincent van Gogh style",a portrait of a doctor with a melancholy expression
"a portrait of a woman in a green dress, with Vincent van Gogh style",a portrait of a woman in a green dress
"a self-portrait of a man with a felt hat, with Vincent van Gogh style",a self-portrait of a man with a felt hat
"a vase of yellow sunflowers, with Vincent van Gogh style",a vase of yellow sunflowers
"a vase of irises in a garden, with Vincent van Gogh style",a vase of irises in a garden
"a still life of pears and a wine bottle, with Vincent van Gogh style",a still life of pears and a wine bottle
"a bouquet of poppies and daisies, with Vincent van Gogh style",a bouquet of poppies and daisies
"a still life of shoes on a wooden floor, with Vincent van Gogh style",a still life of shoes on a wooden floor
"an almond branch in blossom against a blue sky, with Vincent van Gogh style",an almond branch in blossom against a blue sky
"a chair in a small bedroom, with Vincent van Gogh style",a chair in a small bedroom
"a still life of fruit on a table, with Vincent van Gogh style",a still life of fruit on a table
"a wheat field under a stormy sky, with Vincent van Gogh style",a wheat field under a stormy sky
"olive trees on a hillside, with Vincent van Gogh style",olive trees on a hillside
"a row of cypresses against a blue sky, with Vincent van Gogh style",a row of cypresses against a blue sky
"a country road lined with poplars, with Vincent van Gogh style",a country road lined with poplars
"rolling green hills under a yellow sky, with Vincent van Gogh style",rolling green hills under a yellow sky
"a flowering garden in spring, with Vincent van Gogh style",a flowering garden in spring
"a peasant sowing seeds in a field at sunset, with Vincent van Gogh style",a peasant sowing seeds in a field at sunset
"a meadow with bright red poppies, with Vincent van Gogh style",a meadow with bright red poppies
"a starry night over a small village with a tall cypress, with Vincent van Gogh style",a starry night over a small village with a tall cypress
"a café terrace at night, with Vincent van Gogh style",a café terrace at night
"a wooden drawbridge over a canal, with Vincent van Gogh style",a wooden drawbridge over a canal
"a river at night reflecting starlight, with Vincent van Gogh style",a river at night reflecting starlight
"a yellow house on a sunny street, with Vincent van Gogh style",a yellow house on a sunny street
"a small town under a blue evening sky, with Vincent van Gogh style",a small town under a blue evening sky
